pr_id,repo_name,pr_number,pr_title,author_id,state,is_merged,is_draft,created_at,updated_at,closed_at,merged_at,merged_by_id,additions,deletions,pr_size,changed_files,commits_count,comments_count,review_comments_count,total_comments,cycle_time_hours,days_since_created,days_since_updated,first_review_at,last_review_at,time_to_first_review_hours,review_turnaround_time_hours,approvals_count,changes_requested_count,commented_count,has_approval
Am.EventKit#225,Am.EventKit,225,fix: Change in message during booking,72215925,closed,True,False,2025-12-28T20:46:46+00:00,2025-12-28T20:49:12+00:00,2025-12-28T20:49:12+00:00,2025-12-28T20:49:12+00:00,115925529,1,1,2,1,1,0,0,0,0.04055555555555555,99,99,2025-12-28 20:49:02+00:00,2025-12-28 20:49:02+00:00,0.03777777777777778,,1,0,0,True
Am.EventKit#224,Am.EventKit,224,fix: Only OFFLINE events are considered as tickets,72215925,closed,True,False,2025-12-28T20:00:53+00:00,2025-12-28T20:07:17+00:00,2025-12-28T20:07:17+00:00,2025-12-28T20:07:17+00:00,115925529,70,22,92,8,1,0,0,0,0.10666666666666667,99,99,2025-12-28 20:06:55+00:00,2025-12-28 20:06:55+00:00,0.10055555555555555,,1,0,0,True
Am.EventKit#223,Am.EventKit,223,fix: fixed query to check event registered for accommodation,115925529,closed,True,False,2025-12-28T09:52:49+00:00,2025-12-28T18:24:50+00:00,2025-12-28T10:00:00+00:00,2025-12-28T10:00:00+00:00,72215925,26,8,34,2,1,0,0,0,0.11972222222222222,100,100,2025-12-28 09:59:54+00:00,2025-12-28 09:59:54+00:00,0.11805555555555555,,1,0,0,True
Am.EventKit#222,Am.EventKit,222,fix: CheckIn and CheckOut times,72215925,closed,True,False,2025-12-28T08:01:28+00:00,2025-12-28T08:02:21+00:00,2025-12-28T08:02:21+00:00,2025-12-28T08:02:21+00:00,72215925,42,14,56,3,2,0,0,0,0.014722222222222222,100,100,2025-12-28 08:02:15+00:00,2025-12-28 08:02:15+00:00,0.013055555555555556,,1,0,0,True
Am.EventKit#220,Am.EventKit,220,fix: GST query second fix,72215925,closed,True,False,2025-12-28T02:27:48+00:00,2025-12-28T18:24:52+00:00,2025-12-28T02:31:00+00:00,2025-12-28T02:31:00+00:00,72215925,6,0,6,2,2,0,0,0,0.05333333333333334,100,100,2025-12-28 02:28:54+00:00,2025-12-28 02:28:54+00:00,0.018333333333333333,,1,0,0,True
Am.EventKit#219,Am.EventKit,219,fix: GST,72215925,closed,True,False,2025-12-28T01:39:41+00:00,2025-12-28T01:40:21+00:00,2025-12-28T01:40:21+00:00,2025-12-28T01:40:21+00:00,145009677,5,0,5,1,1,0,0,0,0.011111111111111112,100,100,2025-12-28 01:40:14+00:00,2025-12-28 01:40:14+00:00,0.009166666666666667,,1,0,0,True
Am.EventKit#218,Am.EventKit,218,fix: Add missing unique key constraint on txn_id in bookings,72215925,closed,True,False,2025-12-27T03:13:34+00:00,2025-12-28T18:24:55+00:00,2025-12-27T03:14:36+00:00,2025-12-27T03:14:36+00:00,145009677,6,0,6,1,1,0,0,0,0.017222222222222222,101,100,2025-12-27 03:14:30+00:00,2025-12-27 03:14:30+00:00,0.015555555555555555,,1,0,0,True
Am.EventKit#217,Am.EventKit,217,Feat/dispute,145009023,closed,True,False,2025-12-26T18:57:39+00:00,2025-12-28T07:43:50+00:00,2025-12-28T07:43:50+00:00,2025-12-28T07:43:50+00:00,115925529,1663,201,1864,40,39,0,0,0,36.76972222222222,101,100,2025-12-27 03:36:58+00:00,2025-12-28 07:43:40+00:00,8.655277777777778,28.111666666666668,1,0,0,True
Am.EventKit#216,Am.EventKit,216,feat: add is_amrita and is_registered,145009023,closed,True,False,2025-12-24T23:27:51+00:00,2025-12-28T18:24:56+00:00,2025-12-24T23:54:06+00:00,2025-12-24T23:54:06+00:00,72215925,19,9,28,2,3,0,0,0,0.4375,103,100,2025-12-24 23:53:55+00:00,2025-12-24 23:53:55+00:00,0.43444444444444447,,1,0,0,True
Am.EventKit#215,Am.EventKit,215,Temp pool expansion,72215925,closed,True,False,2025-12-24T22:49:13+00:00,2025-12-28T18:24:57+00:00,2025-12-24T22:52:12+00:00,2025-12-24T22:52:12+00:00,145009023,49,2,51,3,1,0,0,0,0.04972222222222222,103,100,2025-12-24 22:50:33+00:00,2025-12-24 22:50:33+00:00,0.022222222222222223,,1,0,0,True
Am.EventKit#214,Am.EventKit,214,feat: add is_filling_fast field for GetAllEvents,145009023,closed,True,False,2025-12-24T22:34:46+00:00,2025-12-24T22:47:40+00:00,2025-12-24T22:47:32+00:00,2025-12-24T22:47:32+00:00,72215925,14,4,18,2,1,0,0,0,0.2127777777777778,103,103,2025-12-24 22:47:20+00:00,2025-12-24 22:47:20+00:00,0.20944444444444443,,1,0,0,True
Am.EventKit#213,Am.EventKit,213,fix: missing middlewares,72215925,closed,True,False,2025-12-23T21:54:59+00:00,2025-12-28T18:24:58+00:00,2025-12-23T21:55:26+00:00,2025-12-23T21:55:26+00:00,145009677,1,1,2,1,1,0,0,0,0.0075,104,100,2025-12-23 21:55:18+00:00,2025-12-23 21:55:18+00:00,0.005277777777777778,,1,0,0,True
Am.EventKit#212,Am.EventKit,212,Rescue TCW,72215925,closed,True,False,2025-12-23T21:52:45+00:00,2025-12-23T21:53:22+00:00,2025-12-23T21:53:22+00:00,2025-12-23T21:53:22+00:00,145009677,193,1,194,5,2,0,0,0,0.010277777777777778,104,104,2025-12-23 21:53:12+00:00,2025-12-23 21:53:12+00:00,0.0075,,1,0,0,True
